#,#Cereal,comment,
#,#ID,,Atari
#,#Rectangle trap 1000000 ~,,
#,#Damage system (object),,
#,1,23,13
#,1,2,3
1501001,Poisonous gas floor when riding,,
1501002,Poisonous gas (small) floor when riding,,
1501003,Poisonous gas floor when riding (former underground waterway 3rd floor),,
1501004,Poisonous gas floor when riding (for waterway placement),,
1501005,Randomly ride each gas floor (for waterway placement),,
1501006,Instant death gas always (for blue cave),,
1501007,The mob disappears when you enter the small room,,
1501008,The mob disappears as you approach the small door,,
1501101,Geyser fire base always (for blue cave),,
1501102,Geyser sleep base always (for blue cave),,
1501103,Geyser paralysis base always (for blue cave),,
1501104,Geyser poison base always (for blue cave),,
1501105,Geyser durability reduction base always (for blue cave),,
1501106,Geyser Dark foundation Always (for mines),,
1501111,Geyser flame always,,
1501112,Geyser sleep gas always,,
1501113,Geyser paralysis gas always,,
1501114,Geyser poisonous gas constantly,,
1501115,Geyser durability reduction gas always,,
1501116,Geyser darkness,,
1502001,Confused smog,,
1502101,Graveyard of grudge,,
#Damage system (wall),,,
1601001,Burning floor while inside the rectangle,,
1601002,Burning floor in time,,
1601003,Explosive floor when riding,,
1601004,When you get on the arrow,,
1601005,Rock bed when riding,,
1601006,Explosive floor in time,,
1601007,Poison arrow floor when riding,,
1601008,Paralyzed when riding,,
1601009,Sleep when riding,,
1601010,Flame upper floor (upper) while inside the rectangle,,
1601011,Magic circle (random state abnormality when riding),,
1601012,Magic circle (MP drain when riding),,
1601013,Magic circle (petrification + attribute damage when riding),,
1601014,Magic circle (fear + attribute damage when riding),,
1601015,Magic circle (sleep + attribute damage when riding),,
1601016,Magic circle (paralysis + attribute damage when riding),,
1601017,Magic circle (poison + attribute damage when riding),,
1601018,Magic circle (blunt foot + attribute damage when riding),,
1601019,Magic circle (explosion + attribute damage when riding),,
1601020,Burning floor + attribute damage in time,,
1601021,Rockfall when riding,,
1601022,Burning floor + attribute damage in time,,
1601023,Rock mine bomb when riding (Random armor part destruction: Some of the 5 equipped parts will be damaged by 10%),,
1601901,Execution gimmick for prison,,
1602001,"Magic circle (5% instant death, 15% sleep, 20% fainting, 20% fossils, 20% poison, 20% darkness)",,
1602002,Magic circle (summon flame circle),,
1602003,Magic circle (summon land crack),,
1602004,Magic circle (summon ice splash),,
1602005,Magic circle (Windburst summon),,
1602006,Magic circle (priest blaster),,
1602007,Magic circle (Mage Blaster),,
1603001,Madness reduction trap,,
1603002,"HP, MP, OD decrease",,
1603003,Forced Warp 1 (Miskatonic Only),,
1603004,Forced Warp 2 (for Miskatonic only),,
1603005,Paralysis trap,,
1603006,Petrification trap,,
1603007,knock back,,
1603008,Mad gas,,
1603009,Forced Warp 3 (Miskatonic Only),,
1603010,knock back,,
1603011,Only the appearance is magic,,
1604001,Gas (small) floor when riding,,
1605001,Forced Warp 1 (for Babylim Kuchu Teien Observatory only),,
1605002,Forced Warp 2 (for Babylim Kuchu Teien Observatory only),,
1605003,Forced Warp 3 (for Babylim Kuchu Teien Observatory only),,
1605004,Forced Warp 4 (for Babylim Kuchu Teien Observatory only),,
