#,#,,,,Effect ID,Hide what you haven't acquired,Acquisition condition display judgment,,Status up,,,,,,,,
#,#Title ID,ID string,Title name (up to 32 double-byte characters),"Acquisition condition (up to 128 double-byte characters) ... 20 characters per line, so start a new line with </strong> or </strong>",,,Display even if you have not acquired,Displayed only when the designated title ID has been acquired,,,Ability score,,,,,,
#,#,Naming convention,123456789101234567899201234567893012,123456789101234567899201234567893012,,,,,HP,MP,STR,VIT,DEX,AGI,INT,PIE,LUC
#,1,,2,,,,,,3,4,5,6,7,8,9,10,11
#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
#for test,,,,,,,,,,,,,,,,,
# 1000010,,Hundred people slash,Defeat 100 monsters,,,,,,,5,,,,,,,
# 1000015,,Environmental destructionism,Defeat 50 plant monsters,,,,,,,,,,33,22,,,
# 1000020,,Beastman hunter,Defeat 50 Beast-Human Monsters,,,,,,,,,,,,,,
# 1000030,,Beast hunter,Defeat 50 beast-type monsters,,,,,25,,,,,,,,,
# 1000040,,Man-eater,Defeat 50 humanoid monsters,,,,,,,,,,,,,,
# 1000050,,Undead hunter,Defeat 50 undead monsters,,,,,,,,,,,,,,
# 1000060,,Those who have mastered their fists,100 times of use of dark device,,,,,,,,,,,,,,
# 1000070,,Swordsman,One-handed sword used 100 times,,,,,,,,,,,,,,
# 1000080,,Master,Achievement level 50,,,,,,,,,,,,,,
# 1000090,,Title effect test,Title effect test ・ Ah ah ah long string <item 50300902> Various string length tests,,,,,16,,13,13,,,,,,
# 1000100,,Login period test,For testing login period,,,,,16,,13,13,,,,,,
#Subjugation,,,,,,,,,,,,,,,,,
10010101,AAB01,Beginner monster hunter,Defeat 1000 monsters,,,1,,,,,,,,,,,
10010102,AAB02,Monster hunter,"Defeat 10,000 monsters",,,,10010101,,,,,,,,,,
10010103,AAB03,Skilled monster hunter,Defeat 100000 monsters,,,,10010102,,,,,,,,,,
10010104,AAB04,One million return blood bathers,"Defeat 1,000,000 monsters",,,,10010103,,,,,,,,,,
10010105,AAB05,Subjugator,"Defeat 10,000,000 monsters",,,,10010104,,,,,,,,,,
# 10020101,,Mad dog hunting,Defeat prisoner number 13 50 times,,,,,,,,,,,,,,
10030101,AAD01,Beginner plant hunter,Defeat 100 plant monsters,,,1,,,,,,,,,,,
10030102,AAD02,Intermediate plant hunter,Defeat 500 plant monsters,,,,10030101,,,,,,,,,,
10030103,AAD03,Skilled plant hunter,Defeat 1000 plant monsters,,,,10030102,,,,,,,,,,
10030104,AAD04,Plant slayer,Defeat 3000 plant monsters,,,,10030103,,,,,,,,,,
10030105,AAD05,Ruler of nature,Defeat 5000 plant monsters,,,,10030104,,,,,,,,,,
10030106,AAD06,Will of the earth,Defeat 20000 plant monsters,,,,10030105,,,,,,,,,,
10040101,AAE01,Beginner Animal Hunter,Defeat 100 beast-type monsters,,,1,,,,,,,,,,,
10040102,AAE02,Intermediate Animal Hunter,Defeat 500 beast-type monsters,,,,10040101,,,,,,,,,,
10040103,AAE03,Skilled animal hunter,Defeat 1000 beast monsters,,,,10040102,,,,,,,,,,
10040104,AAE04,Animal slayer,Defeat 3000 beast-type monsters,,,,10040103,,,,,,,,,,
