#id,item_type,quality,_item_name_necromancy,max_stack_size,3,es_hand_r,es_hand_l,es_quiver,es_head,es_body,es_legs,es_arms,es_feet,es_mantle,es_ring,es_earring,es_necklace,es_belt,es_talkring,es_avatar_head,es_avatar_body,es_avatar_legs,es_avatar_arms,es_avatar_feet,es_avatar_mantle,req_hum_m,req_hum_f,req_elf_m,req_elf_f,req_dwf_m,req_dwf_f,req_por_m,req_por_f,req_gnm_m,req_gnm_f,req_fighter,req_thief,req_mage,req_priest,req_lawful,req_neutral,req_chaotic,40,41,req_str,req_vit,req_dex,req_agi,req_int,req_pie,req_luk,req_soul_rank,max_soul_rank,req_lvl,51,52,53,phys_slash,phys_strike,phys_pierce,56,pdef_fire,pdef_water,pdef_wind,pdef_earth,pdef_light,pdef_dark,63,64,65,matk_fire,matk_water,matk_wind,matk_earth,matk_light,matk_dark,72,73,74,75,76,seffect_hp,seffect_mp,seffect_str,seffect_vit,seffect_dex,seffect_agi,seffect_int,seffect_pie,seffect_luk,res_poison,res_paralyze,res_petrified,res_faint,res_blind,res_sleep,res_silent,res_charm,res_confusion,res_fear,96,status_malus,status_percent,num_of_bag_slots,object_type,equip_slot,102,103,104,no_use_in_town,no_storage,no_discard,no_sell,no_trade,no_trade_after_used,no_stolen,gold_border,lore,icon,field118,field119,field120,field121,field122,field123,field124,field125,field126,field127,field128,field129,field130,req_samurai,req_ninja,req_bishop,req_lord,field135,field136,field137,field138,field139,field140,req_clown,req_alchemist,grade,hardness,scroll_id,physical,magical,weight
100101,HELMET,NORMAL,Leather Guard,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,,,0,0,0,0,0,0,0,0,0,1,0,,,40,40,20,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,NONE,HEAD,,,,0,0,0,0,0,0,1,0,,100101,,,,,,,,,,,,,,0,0,0,0,,,,,,,0,0,1,1,0,5,1,0.8
100102,HELMET,NORMAL,Solid Leather Guard,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,,,0,0,0,0,0,0,0,0,0,1,0,,,40,40,20,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,NONE,HEAD,,,,0,0,0,0,0,0,0,0,,100701,,,,,,,,,,,,,,0,0,0,0,,,,,,,0,0,5,2,0,18,0,0.9
100103,HELMET,NORMAL,Tiran Helm,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,,0,0,0,0,0,0,0,0,0,1,0,,,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,NONE,HEAD,,,,0,0,0,0,0,0,0,0,,99900100,,,,,,,,,,,,,,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0
100104,HELMET,NORMAL,Elven Guard,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,,0,0,0,0,0,0,0,0,0,1,0,,,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,NONE,HEAD,,,,0,0,0,0,0,0,0,0,,99900100,,,,,,,,,,,,,,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0
100105,HELMET,NORMAL,Hero Guard,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,,0,0,0,0,0,0,0,0,0,1,0,,,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,NONE,HEAD,,,,0,0,0,0,0,0,0,0,,99900100,,,,,,,,,,,,,,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0
100106,HELMET,MASTER,Crisis Guard,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,,,0,0,0,0,0,0,0,0,0,44,0,,,40,40,20,,0,0,0,0,0,0,,,,2,2,2,2,0,0,,,,,,15,15,0,0,0,0,3,4,0,5,0,0,0,0,0,0,0,0,0,,,0,0,NONE,HEAD,,,,0,0,0,0,0,0,0,0,,101601,,,,,,,,,,,,,,0,0,0,0,,,,,,,0,0,17,2,0,58,27,0.8
100107,HELMET,NONE,Hekaton Guard,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,,0,0,0,0,0,0,0,0,0,1,0,,,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,NONE,HEAD,,,,0,0,0,0,0,0,0,0,,99900100,,,,,,,,,,,,,,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0
100108,HELMET,GOOD,Wind Guard,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,,,0,0,0,0,0,0,0,0,0,1,0,,,40,40,20,,20,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,NONE,HEAD,,,,0,0,0,0,0,0,0,0,,100103,,,,,,,,,,,,,,0,0,0,0,,,,,,,0,0,4,2,0,12,2,0.8
100109,HELMET,GOOD,Spell Guard,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,,,0,0,0,0,0,0,0,0,0,1,0,,,40,30,30,,10,10,10,10,0,0,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,NONE,HEAD,,,,0,0,0,0,0,0,0,0,,100102,,,,,,,,,,,,,,0,0,0,0,,,,,,,0,0,3,2,0,8,1,0.8
100110,HELMET,NORMAL,Sturdy Solid Leather Guard,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,,,0,0,0,0,0,0,0,0,0,1,0,,,40,40,20,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,NONE,HEAD,,,,0,0,0,0,0,0,0,0,,100701,,,,,,,,,,,,,,0,0,0,0,,,,,,,0,0,7,2,0,25,4,0.8
100111,HELMET,NORMAL,Skillful Leather Guard,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,,,0,0,0,0,0,0,0,0,0,27,0,,,40,40,20,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,NONE,HEAD,,,,0,0,0,0,0,0,0,0,,100101,,,,,,,,,,,,,,0,0,0,0,,,,,,,0,0,10,2,0,33,8,0.8
100112,HELMET,GOOD,Blessing Guard,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,0,0,0,0,0,0,0,0,0,40,0,,,40,40,20,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,,20,10,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,,,0,0,NONE,HEAD,,,,0,0,0,0,0,0,0,0,,100701,,,,,,,,,,,,,,0,0,0,0,,,,,,,0,0,15,3,0,44,20,0.9
