#,ID,String,Message type,Supports special tags
#Category name,,,,
#,,,,
GENERAL,1,Test </br> ABC </strong> Data </​​strong> <map 1001001> </br>%s,SYSTEM_NOTIFY,1
GENERAL,-1,General error,SYSTEM_NOTIFY,0
GENERAL,2,Failed to read the map data.,SYSTEM_WARNING,
GENERAL,3,I saved the screenshot. (%s),SYSTEM_NOTIFY,
CHAT_MSG,GENERIC,Unknown remark error,SYSTEM_WARNING,0
CHAT_MSG,2,You can't whisper yourself,SYSTEM_WARNING,
CHAT_MSG,-802,I can't speak because I haven't attended the party,SYSTEM_WARNING,
CHAT_MSG,-1400,The soul <errmsg> was not found,SYSTEM_WARNING,1
CHAT_MSG,-1401,There are no items for whole chat,SYSTEM_WARNING,
CHAT_MSG,-1402,Cannot be used due to cool time,SYSTEM_WARNING,
CHAT_MSG,-1403,You cannot make the same statement in a row,SYSTEM_WARNING,
CHAT_MSG,-1404,You cannot shout up to Soul Rank 2.,SYSTEM_WARNING,
CHAT_MSG,-1405,Cannot be used due to cool time,SYSTEM_WARNING,
CHAT_MSG,-2201,Rejecting whisper to subject,SYSTEM_WARNING,
CHAT_MSG,-2202,Cannot whisper because it is registered in the other party's rejection list,SYSTEM_WARNING,
CHAT_MSG,-3000,You can't chat the whole thing while trading,SYSTEM_WARNING,
CHAT_MSG,-3001,You cannot chat the whole thing during the stall,SYSTEM_WARNING,
WIS_CHAT_MSG,GENERIC,Whisper transmission failed: <errcode>,SYSTEM_WARNING,1
WIS_CHAT_MSG,-2202,Rejecting whisper to subject,SYSTEM_WARNING,
WIS_CHAT_MSG,-2201,Cannot whisper because it is registered in the other party's rejection list,SYSTEM_WARNING,
SOULCREATE_MSG,GENERIC,An unknown account creation error has occurred,SYSTEM_WARNING,
SOULCREATE_MSG,-611,This is the soul name that is already in use,SYSTEM_WARNING,
SOULCREATE_MSG,-616,The soul name is incorrect,SYSTEM_WARNING,
ITEMUSE,GENERIC,That item is currently unavailable,SYSTEM_WARNING,
ITEMUSE,10000,This currently can not be used,SYSTEM_WARNING,
ITEMUSE,1,Items in the inventory are not available on the current map.,SYSTEM_WARNING,
ITEMUSE,-201,The storage location of the item is invalid,SYSTEM_WARNING,
ITEMUSE,-203,Can't move there,SYSTEM_WARNING,
ITEMUSE,-204,Incorrect quantity of items,SYSTEM_WARNING,
ITEMUSE,-205,The target of use of the item is invalid,SYSTEM_WARNING,
ITEMUSE,-206,There is a delay time and it cannot be used,SYSTEM_WARNING,
ITEMUSE,-207,There is no space in the inventory,SYSTEM_WARNING,
ITEMUSE,-208,Cannot be used because the item is cursed,SYSTEM_WARNING,
ITEMUSE,-209,Cannot be used because the item is damaged,SYSTEM_WARNING,
ITEMUSE,-210,Does not meet the equipment requirements of the item,SYSTEM_WARNING,
ITEMUSE,-211,Item is not available,SYSTEM_WARNING,
ITEMUSE,-212,Item is not ready for use,SYSTEM_WARNING,
ITEMUSE,-230,Cannot be used due to cool time,SYSTEM_WARNING,
ITEMUSE,-248,Cannot be used because it does not meet the usage conditions,SYSTEM_WARNING,
ITEMUSE,-2601,This piece is already available,SYSTEM_WARNING,
ITEMUSE,-2708,Can only be used outside the city,SYSTEM_WARNING,
ITEMUSE,-3001,Items cannot be moved while the stalls are open,SYSTEM_WARNING,
ITEMUSE,-5303,Items in the regular inventory are currently unavailable,SYSTEM_WARNING,
ITEMUSE,-5304,Items in the regular inventory are currently unavailable,SYSTEM_WARNING,
ITEMUSE,-9999,The item cannot be used because it does not meet the usable conditions.,SYSTEM_WARNING,
ITEMUSE_EFFECT,1,I created a Token Ring,SYSTEM_NOTIFY,
ITEMUSE_ITEM,1,Cannot be used for equipped items,SYSTEM_WARNING,
CITYCHANNEL_SELECT,GENERIC,Channel selection failed,SYSTEM_WARNING,
CITYCHANNEL_SELECT,-19,The number of connected channels has reached the upper limit,SYSTEM_WARNING,
DISCONNECT,GENERIC,Disconnected from the server,SYSTEM_WARNING,
DISCONNECT,6,I was disconnected when I entered the server,SYSTEM_WARNING,
DISCONNECT,7,I was disconnected when I entered the map,SYSTEM_WARNING,
DISCONNECT,9,Failed to enter the map,SYSTEM_WARNING,
DISCONNECT,29,Could not connect to message server due to timeout,SYSTEM_WARNING,
CHARMAKE,GENERIC,Failed to create a character,SYSTEM_WARNING,
CHARMAKE,-610,The target is a character that has not been lost,SYSTEM_WARNING,
CHARMAKE,-612,The name already in use,SYSTEM_WARNING,
CHARMAKE,-613,Lost bonus is illegal,SYSTEM_WARNING,
CHARMAKE,-615,Illegal name,SYSTEM_WARNING,
CHARMAKE,-617,The change procedure is already underway with the same character name,SYSTEM_WARNING,
SHORTCUT,GENERIC,Shortcut registration is not possible,SYSTEM_WARNING,
SHORTCUT,-100,Passive skills cannot be registered,SYSTEM_WARNING,
LOOT,-1,I don't have anything.,SYSTEM_WARNING,
LOOT,-10,There is no route target,SYSTEM_WARNING,
LOOT,-207,There is no space in the inventory.,SYSTEM_WARNING,
LOOT,-1500,You do not have root privileges.,SYSTEM_WARNING,
GIMMICK,-1500,You do not have permission to look up.,SYSTEM_WARNING,
#Error related log,,,,
COMMON_ERRMSG,-206,The item is equipped and cannot be operated.,SYSTEM_NOTIFY,
COMMON_ERRMSG,-207,The storage capacity is full.,SYSTEM_NOTIFY,
COMMON_ERRMSG,-208,The item is cursed and cannot be manipulated.,SYSTEM_NOTIFY,
COMMON_ERRMSG,-209,The item is uncursed and cannot be manipulated.,SYSTEM_NOTIFY,
COMMON_ERRMSG,-210,The item is damaged and cannot be manipulated.,SYSTEM_NOTIFY,
COMMON_ERRMSG,-213,Item not found.,SYSTEM_NOTIFY,
COMMON_ERRMSG,-215,You cannot operate it because you are not the owner of the item.,SYSTEM_NOTIFY,
COMMON_ERRMSG,-239,The item is pending trade.,SYSTEM_NOTIFY,
COMMON_ERRMSG,-240,The item is in a parcel.,SYSTEM_NOTIFY,
COMMON_ERRMSG,-241,The item is used at the gem shop.,SYSTEM_NOTIFY,
COMMON_ERRMSG,-242,The item is on sale at a stall.,SYSTEM_NOTIFY,
COMMON_ERRMSG,-243,The item is dedicated to the balance of the soul.,SYSTEM_NOTIFY,
COMMON_ERRMSG,-254,The item is used by a soul partner.,SYSTEM_NOTIFY,
COMMON_ERRMSG,-700,I don't have enough money.,SYSTEM_NOTIFY,
COMMON_ERRMSG,-701,I can't have any more money.,SYSTEM_NOTIFY,
COMMON_ERRMSG,-702,I can't control my money.,SYSTEM_NOTIFY,
COMMON_ERRMSG,-2202,It is registered in the other party's rejection list.,SYSTEM_NOTIFY,
COMMON_ERRMSG,-2201,The target is registered in the deny list.,SYSTEM_NOTIFY,
COMMON_ERRMSG,-3000,It cannot be used during trading.,SYSTEM_NOTIFY,
COMMON_ERRMSG,-3001,It cannot be used during the stalls.,SYSTEM_NOTIFY,
COMMON_ERRMSG,-3002,It cannot be used during the event.,SYSTEM_NOTIFY,
COMMON_ERRMSG,-3100,"The target player is not ready to answer"","" so please try again later.",SYSTEM_NOTIFY,
COMMON_ERRMSG,-999,Cannot be set because the Medal with Diment has expired.,SYSTEM_NOTIFY,
COMMON_ERRMSG,-3500,The status of the bounty neck is incorrect.,SYSTEM_NOTIFY,
COMMON_ERRMSG,-3501,"Since it is not included in the blacklist"","" you cannot register as a bounty.",SYSTEM_NOTIFY,
COMMON_ERRMSG,-3502,Only characters in prison can log in.,SYSTEM_NOTIFY,
COMMON_ERRMSG,-3503,"Seoul"","" who is not a criminal"","" cannot be the bounty.",SYSTEM_NOTIFY,
COMMON_ERRMSG,-3505,Characters in prison cannot be deleted.,SYSTEM_NOTIFY,
COMMON_ERRMSG,-2151,Cannot be used when the sword is delivered,SYSTEM_WARNING,
COMMON_ERRMSG,-4800,No more bullets can be loaded,SYSTEM_WARNING,
#Custom_COMMON_ERRMSGS,,,,
COMMON_ERRMSG,-10001,You are not a high enough level to equip this item.,SYSTEM_WARNING,
COMMON_ERRMSG,-10002,Your current class is not able to equip this item.,SYSTEM_WARNING,
