#MainID,SubID,StringID,String
#Basic
0,0,0,NULL
0,0,1,
0,0,2, 
0,0,3,　
0,0,4, 

#test
0,1,0,Sample 1
0,1,1,Sample 2

1,2,0,Tesuto A
1,2,1,Tesuto B

1,3,0,chara_evflag
1,3,1,chara_evstat
1,3,2,soul_evflag
1,3,3,soul_evstat
1,3,4,gate_clear_flag
1,3,5,gate_riddle_clear_flag
1,3,6,gate_flag
1,3,7,gate_stat

1,4,0,set
1,4,1,get

1,5,0,Race change
1,5,1,Occupation change
1,5,2,Flag change

1,10,0,Gagaga
1,10,1,

1,100,0,Automatic login start \n (Visible only debug)
1,100,1,Set automatic login \n (Visible only debug)
1,100,2,"Separate the account ID, password, world number, soul number (0 or 1), soul password, and character selection number \n with commas (,) in that order. Ex) wiztest, password, 0,0,1234,0"
1,100,3,"%s,%s,%d,%d,%s,%d"

1,100,100,Please set up automatic login.


#Event
2,0,0,Skip with Esc key
2,1,0,Failed to play the movie.
2,1,1,It may be improved by installing the latest version of Windows Media Player.
2,1,2,"If you skip the event scene, you will never be able to see it. \n Are you sure?"

#the term
3,0,1,gold
3,0,2,×
3,0,3,...

#File name etc.
4,0,0,effect/fx/EP_BUFF_09.xml
4,0,1,effect/fx/EP_CHR_%03d.xml
4,0,2,effect/fx/EP_EVENT_00.xml
4,0,3,effect/fx/EP_GMK_53.xml
4,0,4,effect/fx/EP_ACT_84.xml
4,0,5,effect/fx/EP_ACT_05.xml
4,0,6,effect/fx/EP_ACT_46.xml
4,0,7,effect/fx/EP_ACT_06.xml
4,0,8,effect/fx/EP_ACT_14.xml
4,0,9,effect/fx/EP_EVENT_05.xml
4,0,10,effect/fx/EP_REG_%03d.xml
4,0,11,effect/fx/EP_ACT_12.xml
4,0,12,script/system/help_button.txt
4,0,13,effect/fx/EP_ACT_07.xml
4,0,14,effect/fx/EP_EVENT_00.xml
4,0,15,effect/fx/EP_EVENT_10.xml
4,10,0,effect/tex/chara_shadow.dds
4,10,1,effect/tex/chara_shadow_mob.dds


#Those using the #conversion specifier
5,0,0,./interface/buff/buff_%06d.dds
5,0,1,./interface/premiumservice/icon_%06d.dds
5,0,2,./interface/buff_shop/buff_shop_%04d.dds
5,0,3,sound/PC/0000/PC_%c%c_%03d.ogg
5,0,4,sound/SE/SE%03d.ogg
5,0,5,sound/EN/EN%03d_%02d.ogg
5,0,6,./settings/%s
5,0,7,./interface/map_image/img%02u.dds
5,0,8,./interface/main/world_img%02u.dds
5,0,9,./interface/main/world_map/%d.dds
5,0,10,script/message/%08d.csv
5,0,11,script/gimmick/%s.txt
5,0,12,%lld
5,0,13,%.02f
5,0,14,%d
5,0,15,%lld gold
5,0,16,%.1f
5,0,17,%1%s%2%s
5,0,18,(%1%s)%2%s
5,0,19,Lv%d
5,0,20,%1%02d:%2%02d
5,0,21,%s exp
5,0,22,%s G
5,0,23,%1%d/%2%d
5,0,24,[%s]
