#,シリアルID,名前
#,,
#,,
#,1,2
#,1,
#,1,2
#,1,
#,,
100101,Leather Guard,
100102,Solid Leather Guard,
100103,Gladiator Guard,
100104,Elven Guard,
100105,Hero Guard,
100106,Crisis Guard,
100107,Hekaton Guard,
100108,Windguard,
100109,Spell Guard,
100110,Sturdy Solid Leather Guard,
100111,Skillful Leather Guard,
100112,Shake Sing guard,
100113,Le Frize guard,
100114,Gurafiko guard,
100115,Pre-Vie Die guard,
100116,[RD] Solid leather guard,
100181,Headband of demon,
100191,Old Guard,
100192,Las Weserblick door guard,
100193,[RD] leather guard,
100201,Bronze Helm,
100202,Magic Helm,
100203,Crimson Helm,
100204,Gospel Helm,
100205,Damascus Helm,
100206,Crystal Helm,
100207,Headlock,
100208,Helmet of Endurance,
100209,Veteran Bronze Helm,
100210,Light Iron Helm,
100211,Invincible Bronze Helm,
100212,Demonic guard,
100213,Solomon Helm,
100214,Cardiac of the Norman Helm,
100301,Hard Leather Guard,
100302,Expert Guard,
100303,Blood Guard,
100304,Moon Guard,
100305,Glory Guard,
100306,Blessed Guard,
100307,Sturdy Hard Leather Guard,
100308,[RD] Hard Leather guard,
100401,Iron Helm,
100402,Iron Helm 2,
100403,Iron Helm 3,
100404,Iron Helm 4,
100405,Iron Helm 5,
100406,Heavy Iron Helm,
100407,King's Helm,
100408,King's War Helm,
100501,Sarit,
100502,Night Helm,
100503,Iris Helm,
100504,Phantom Helm,
100505,General Helm,
100506,Holy Helm,
100507,Deluxe Sarit,
100508,Sarit of Fortitude,
100509,Remuresuherumu,
100510,Vaizeherumu,
100601,Morion Armet,
100602,Heat Haze Helm,
100603,Arubaherumu,
100801,Bronze 3 Helmet,
100802,Death Bae Ray Deployment Helm,
100803,Click Vik Met,
100804,Karabari head: 0803,
100806,Loud eggplant Helm,
100901,Soldier's Helm,
100902,Royal Soldier Helm,
100903,Toraomuherumu,
100905,Schmidt Helm,
101201,Chain Helm,
101202,Verification: Warrior Armor 1,
101203,Confirmation warrior head: 1203,
101204,Exo-skeleton,
101205,Karabari head: 1204,
101206,Karabari head: 1205,
101207,Vajiherumu,
101208,High Reem guard,
101301,Studded Leather Guard,
101302,Spiked Leather Guard,
101303,Soil mall guard,
101304,Motosugado,
101305,Karabari head: 1303,
101306,Hekiuroko spell guard of,
101307,Easugado,
101308,Shivupanagado,
101309,Wisdom guard,
101310,Pabiedagado,
101311,Sukiagado,
101401,Half-Plate Helmet,
101402,Dasukuheddo,
101403,Nan show Helm,
101404,Karabari head: 1403,
101405,Karabari head: 1404,
101406,Rescue guard,
101407,Sogni AS Ricochet,
101501,Shadow Armet,
101502,Obushidanherumu,
101503,Confirmation warrior head: 1502,
101504,Frontier service lit,
101505,Rush Ah Met,
101601,Gold Chain Helm,
101602,Wieland guard,
101603,[RD] Gold Chain Helm,
101604,Relief Helm,
101701,Iron Scale 2 Helmet,
101801,Knight Plate 2 Helmet,
101802,★ lead-follower Tew de Helm,
101901,Sprout Helm,
101902,Professional Messa Helm,
101903,[Of Muma] scan Prato Helm,
101904,Revolution Zion Helm,
102001,Fringe Guard,
102002,[Of Muma] fringe guard,
102003,City Zen guard,
102004,Oh segment guard,
102101,Steel 2 Helmet,
102102,Pusher Helm,
102201,Verification: Samurai-only armor 1,
102202,★ Komakudji - amount applied,
102301,Verification: monarch dedicated Armor 1,
102401,Gurabesuherumu,
109101,Koj's Helm [replica],
109901,Aged Helmet,
110101,Bandanna,
110102,Scout Bandanna,
110103,Ranger Bandanna,
110104,Fortune Bandanna 2,
110105,Le hard bandana,
110191,Old Bandanna,
110301,Head Gear,
110302,Head Gear 2,
110303,Head Gear 3,
110304,Head Gear 4,
110305,Head Gear 5,
110306,Sturdy Head Gear,
110307,Isomina Head Gear,
110308,Force gear,
110309,A void bandana,
110310,[RD] headgear,
110311,Soniogia,
110401,Strong Bandanna,
110402,Studded Bandanna,
110403,Hiking Bandanna,
110404,Ignus Bandanna,
110405,Demon Bandanna,
110406,Thief Strong Bandanna,
110407,Illusion Food,
110501,Splint Bandanna,
110502,Lamellar Bandanna,
110503,Druid Bandanna,
110504,Sylvan Bandanna,
110505,Gale Bandanna,
110506,Thief Splint Bandanna,
110507,Phantom Thief Bandanna,
110508,Recaptured Bandanna,
110509,Kaya Night bandana,
110510,Lacus par bandana,
110511,Vu lot bandana,
110512,Desa Fio Food,
110513,Hakeem bandana,
110601,★Carnage Beret (Black),
110602,★Carnage Beret (Blue),
110603,★Carnage Beret (Red),
110604,★Carnage Beret (Green),
110605,★Carnage Beret (Yellow),
110701,Garnet Coif,
111001,Rangers Bandanna,
111002,Lightweight Ranger's Bandana,
111003,Delight band,
111004,Dawn Food,
111101,Bandit Suit Helmet,
111102,Asashineitogia,
111103,Grants guard,
111201,Fortune Bandanna,
111202,Concentrate bandana,
111203,Les Very bandana,
111204,Trick bandana,
111205,Bandana of moonlight,
111301,Bandit Suit 2 Helmet,
111401,★ permanent and amount applied,
111402,Permanent and amount applied,
111501,Low Vernon bandana,
111502,Jura instrument bandana,
111503,Feather bandana,
111504,Rafi Niruto bandana,
119001,Harness Variation 1 Helmet,
119002,Astil Bandanna,
119003,Vuruaimagia,
119004,[Of Muma] Ass tail bandana,
119005,Cachaça gear,
119006,Bandana of 燃目,
119901,Red & Black Bandanna,
120101,Circlet,
120102,Professor Circlet,
120103,Brink Circlet,
120104,Deep Watch,
120105,Necromancer Watch,
120106,Grace Circlet,
120107,Clergy Crown,
120108,Crown of the Gleaming Jewels,
120109,Circlet of Knowledge,
