#,#serialid,name,info (description),Icon ID,Admission map ID,Pull-down display order
#,1,2,3,,,
#,1,2,3,4,5,6
1,Test Soul Item 1,This is debug data.,,,,
2,Test soul item 2,This is debug data.,,,,
#,,,,,,
60100104,Short screws covered with sewage,Sewage-covered screws. \ n It seems to be some kind of part.,60100105,,,
60100107,Shining crystal ball,A crystal ball that emits a dull light. \ n It seems to be some kind of part.,60100103,,,
60100108,Rusted lever,Rusted lever. \ n A tool for attaching to something and moving it.,60100105,,,
60100109,Bent screw covered with sewage,Sewage-covered screws. \ n It seems to be some kind of part.,60100105,,,
60100110,Sewage-covered elongated screws,Sewage-covered screws. \ n It seems to be some kind of part.,60100105,,,
60100113,Letter of introduction to Pinon,A letter of introduction from Ereche. \ n To Pinon.,60100102,,,
60100114,Letter of introduction to Pinon (signed),A letter of introduction from Ereche. \ n Autographed by Pinon.,60100102,,,
60100115,Letter of introduction to Lotte,A letter of introduction from Ereche. \ n To Lotte.,60100102,,,
60100116,Letter of introduction to Lotte (signed),A letter of introduction from Ereche. \ n Autographed by Lotte.,60100102,,,
60100117,Letter of introduction to Timp,A letter of introduction from Ereche. \ n To Timp.,60100102,,,
60100118,Letter of introduction to Timp (signed),A letter of introduction from Ereche. \ n Autographed timp.,60100102,,,
60100119,Letter of introduction to Ashe,A letter of introduction from Ereche. \ n To Ashe.,60100102,,,
60100120,Letter of introduction to Ashe (signed),A letter of introduction from Ereche. \ n Autographed by Ashe.,60100102,,,
60100121,Letter of introduction to Badges,A letter of introduction from Ereche. \ n To Badges.,60100102,,,
60100122,Letter of introduction to Badges (signed),A letter of introduction from Ereche. \ n Autographed by Badges.,60100102,,,
60100125,Proof of an adventurer,A proof given to those who have overcome the challenges and have taken the first step as an adventurer.,60100114,,,
60100126,Adventurer's Guild Referral Letter,A letter of introduction from the Adventurer's Guild. \ nYou will be able to enter the Ilfarro Magic Bureau \ n.,60100102,,,
60100146,Dragon bill,A bill that proves that you have overcome the first test.,60100114,,,
60100149,Letter of introduction to Real,A letter of introduction from Ereche. \ n It is written to Riar that he will challenge the trial.,60100102,,,
60100127,Phil Erin's Jewel,"A mysterious bead found among Phil Erin. \ n It shines like the sun, \ n I feel some mysterious power.",60100107,,,
60100131,Cracked crystal ball,A crystal ball received from the captain of the investigation team. \ nIt has cracked and the original brilliance has been lost.,60100103,,,
60100132,Smooth crystal ball,A crystal ball that has regained its original brilliance by polishing a cracked crystal ball.,60100103,,,
60100143,Black Orb,A black orb that gives off a mysterious glow. \ n There may be something good to have.,60100141,,,
60100150,Pet dog crystal ball,A crystal ball received from Lord Midnight. \ n Needed to go deeper into the castle.,60100103,,,
60100154,Loyal dog crystal ball,A crystal ball received from Mrs. Ramley. \ n Thank you for getting rid of insects.,60100103,,,
60100156,Chicol's crystal ball,A crystal ball received from Alfort. \ n Thank you for finding the toy.,60100103,,,
60100157,Tattered toys,The toy that Chicol was playing with. \ n It's worn out and ragged.,60100129,,,
60100188,Small pieces,"A small piece with a mysterious power. \ n It seems that it has the power to counteract magical power, but \ n it is unknown what the fragment is.",60100115,,,
60100199,Soul lantern,"A mysterious lantern. \ nIt is said that the light is not the light that illuminates the surroundings, but the brilliance of the soul of the person who owns it.",60100203,,,
60100200,Soul lantern (ignition: weak),"A mysterious lantern. \ nIt is said that the light is not the light that illuminates the surroundings, but the brilliance of the soul of the person who owns it.",60100204,,,
60100201,Soul lantern (ignition: strong),"A mysterious lantern. \ nIt is said that the light is not the light that illuminates the surroundings, but the brilliance of the soul of the person who owns it.",60100204,,,
60100202,Soul lantern (ignition: maximum),"A mysterious lantern. \ nIt is said that the light is not the light that illuminates the surroundings, but the brilliance of the soul of the person who owns it.",60100204,,,
60100265,Bronze medallion,A medal that qualifies for \ n participation in the first underground arena. \ n Come on! Test your skills!,50400101,,,
60100266,Silver medallion,A medal that qualifies for \ n participation in the second underground arena. \ n Show me! Proof of being a strong man!,50400201,,,
60100267,Gold medallion,A medal that qualifies for \ n participation in the Third Underground Arena. \ n Break it down! The strongest wall!,50400301,,,
60100268,Crystal of opening,"A crystal ball that opens the gate to the ""Gatekeeper of the Ruins"".",60100103,,,
60100269,Infinite heart,It is said to have been created to disguise the alignment. \ n The color is changed according to the attribute of the alignment to be mimicked.,60100189,,,
60100270,Pale heart,An infinite heart that has changed color. \ n Pretend to be order.,60100190,,,
60100271,Amber heart,An infinite heart that has changed color. \ n Pretend to be neutral.,60100191,,,
60100272,Purple Flame Heart,An infinite heart that has changed color. \ n Pretend to be chaos.,60100192,,,
60100273,The heart of a different god,An infinite heart that has changed color. \ n It emits a different color that does not belong to any alignment.,60100189,,,
60100366,Adventurer's Guild Token Ring,\ N Token Ring to get in touch with the Eleshe.,70000201,,,
60100367,Note of Darua XIII,"A memorandum that is said to have been written by Darua XIII. \ nBut most of the pages are blank, and \ n only says ""The light of truth emerges"" \ n at the beginning.",60100131,,,
60100274,Stained corset,Elisabeth's sweat-soaked corset \ nFor those with special habits \ n It seems to smell very good.,60100116,,,
60100275,Evil mass crystal ball,The malicious intent of the dark angel who nestles on the round table is \ ncoagulated. It is the key to go under the dark angel princess.,60100103,,,
60100410,Devil metal lump,A metal with a magical power that has a miasma. \ nIt seems that it is used as a material such as special tools.,60100202,,,
60100411,Devil's Saw,A saw that is sophisticated with magical power that has a miasma. \ n I feel like I can cut something that cannot be cut with a normal saw.,60100177,,,
60100412,Devilish saw with a spilled blade,"A saw that is sophisticated with magical power that has a miasma. \ n The blade is spilled, so if you use it as it is, it will break.",60100176,,,
60100413,Poisonous fog pass bill,A handprint with the coat of arms of poisonous mist.,60100174,,,
